id,displayName,primaryType,formattedAddress,location[latitude],location[longitude],nationalPhoneNumber,currentOpeningHours,websiteURL,
ChIJ1zPm8S3-HIMR3Zy5N52n4a8,Davis Property Management LLC.,general contractor,"566 Old Fredonia Rd, Mercer, PA 16137, USA",41.29241580000001,-80.2530231,(724) 456-6972,Monday: 7:30 AM - 4:30 PM|Tuesday: 7:30 AM - 4:30 PM|Wednesday: 7:30 AM - 4:30 PM|Thursday: 7:30 AM - 4:30 PM|Friday: 7:30 AM - 4:30 PM|Saturday: Closed|Sunday: Closed|,,None
ChIJm7FrNaykM4gRMEEu8ij-mh8,Tennessee Gas Pipeline Co,,"1211 Greenville Mercer Rd, Mercer, PA 16137, USA",41.275582899999996,-80.2734564,(724) 662-2990,,,None
ChIJ1WjPeKikM4gR3q-b6ETK21E,Guiler & Guiler Accounting Inc,consultant,"1104 Greenville Mercer Rd, Mercer, PA 16137, USA",41.2707011,-80.2655912,(724) 662-2154,,,None
ChIJFxSP26ekM4gRFGerfAuPnuM,Watson's Milk Hauling Inc,moving company,"1093 Greenville Mercer Rd, Mercer, PA 16137, USA",41.2701436,-80.2651903,(724) 662-5219,,,None
ChIJ_9nyt0m7M4gRHZylxOMpRcw,Yeager Locust Grove,bar,"1428 Greenville Mercer Rd, Mercer, PA 16137, USA",41.2888259,-80.2841339,(724) 662-2160,Monday: 12:00 - 8:00 PM|Tuesday: 12:00 - 8:00 PM|Wednesday: 12:00 PM - 2:00 AM|Thursday: 12:00 PM - 2:00 AM|Friday: 12:00 PM - 2:00 AM|Saturday: 12:00 PM - 2:00 AM|Sunday: 12:00 - 8:00 PM|,,None
ChIJO2sfYhGlM4gR7Gh_ct4GGyM,Coolspring Wood Products (Custom Sawing & Lumber),general contractor,"700 Rodgers Hill Rd, Mercer, PA 16137, USA",41.2951184,-80.246686,(724) 475-4441,Monday: 9:00 AM - 5:00 PM|Tuesday: 9:00 AM - 5:00 PM|Wednesday: 9:00 AM - 5:00 PM|Thursday: 9:00 AM - 5:00 PM|Friday: 9:00 AM - 5:00 PM|Saturday: 9:00 AM - 5:00 PM|Sunday: Closed|,https://justplainbusiness.com/coolspring-wood-products/,None
ChIJmS_CBwSlM4gR3EB4sRDoPWo,Coolsprings Bargains Surplus Store,discount store,"700 Rodgers Hill Rd, Mercer, PA 16137, USA",41.2951184,-80.246686,(724) 475-4441,Monday: 9:00 AM - 5:00 PM|Tuesday: 9:00 AM - 5:00 PM|Wednesday: 9:00 AM - 5:00 PM|Thursday: 9:00 AM - 5:00 PM|Friday: 9:00 AM - 5:00 PM|Saturday: 9:00 AM - 5:00 PM|Sunday: Closed|,https://justplainbusiness.com/coolsprings-bargains-surplus-store/,None
ChIJHxLB4I6kM4gRFYYu6Tv5mq8,Leomart,point of interest,"854 N Perry Hwy, Mercer, PA 16137, USA",41.279083,-80.239204,,,,None
ChIJKYy86Y6kM4gRA2Uey8TDVrM,Cool Spring Twp Secretary,,"852 N Perry Hwy, Mercer, PA 16137, USA",41.2792556,-80.2386156,(724) 475-2010,,,None
ChIJU6gDEiO7M4gRXYJyRIlTjYw,Fredonia Forest Products Inc,general contractor,"1600 Mercer Rd, Mercer, PA 16137, USA",41.2981896,-80.291135,(724) 662-4418,,,None
ChIJM8vvNKm8M4gRPD0UtUe6_Xs,Finnegan Computer Services,,"306 Fullingmill Rd, Mercer, PA 16137, USA",41.265338199999995,-80.28390279999999,(724) 662-4118,Monday: 7:00 AM - 5:00 PM|Tuesday: 7:00 AM - 5:00 PM|Wednesday: 7:00 AM - 5:00 PM|Thursday: 7:00 AM - 5:00 PM|Friday: 7:00 AM - 5:00 PM|Saturday: Closed|Sunday: Closed|,http://www.finnegancomputers.com/contact/,None
ChIJrd3UKOClM4gR2Z6PZwh8474,The Steele Girls Farm,,"126 Tait Rd, Mercer, PA 16137, USA",41.2803883,-80.22890869999999,(724) 866-5045,,,None
ChIJa_gp4W2ZM4gRUMBta6yk5N0,Yoder's Greenhouse,,"150 N Spring Rd, Mercer, PA 16137, USA",41.177709799999995,-80.1929254,,Monday: 7:00 AM - 8:00 PM|Tuesday: 7:00 AM - 8:00 PM|Wednesday: 7:00 AM - 8:00 PM|Thursday: 7:00 AM - 8:00 PM|Friday: 7:00 AM - 8:00 PM|Saturday: 7:00 AM - 8:00 PM|Sunday: Closed|,,None
ChIJI-LN8tKYM4gRmvOWO-13PZg,Springfield Hardwood,general contractor,"148 S Spring Rd, Mercer, PA 16137, USA",41.152917099999996,-80.1842968,(724) 748-5647,Monday: 8:00 AM - 4:30 PM|Tuesday: 8:00 AM - 4:30 PM|Wednesday: 8:00 AM - 4:30 PM|Thursday: 8:00 AM - 4:30 PM|Friday: 8:00 AM - 4:30 PM|Saturday: Closed|Sunday: Closed|,http://www.springfieldhardwood.com/,None
